0xff8603c4,GetISHallDevicePitchOffset_FW
0xff8603dc,GetISHallDeviceYawGain_FW
0xff8603cc,GetISHallDeviceYawOffset_FW
0xffa47384,GetISHallGainAaxis_FW
0xffa473a4,GetISHallGainBaxis_FW
0xffa47344,GetISHallOffsetAaxis_FW
0xffa47364,GetISHallOffsetBaxis_FW
0xffa47714,GetISHallOut1Amp_FW
0xff860c64,GetISLensDampAaxis_FW
0xff860c6c,GetISLensDampBaxis_FW
0xffab033c,GetISLensEViAaxis_FW
0xffab0350,GetISLensEViBaxis_FW
0xffa475d0,GetISParamVersion_FW
0xff8603f4,GetISPitchPWM_FW
0xffa47304,GetISPositionAaxis_FW
0xffa47324,GetISPositionBaxis_FW
0xff860404,GetISShiftLensPitchPosition_FW
0xff86040c,GetISShiftLensYawPosition_FW
0xff8603fc,GetISYawPWM_FW
0xff84a390,GetKbdState
0xffaaf360,GetLastVBatADLevel_FW
0xff85f648,GetLensErrorStatus_FW
0xff9040d8,GetLogData_FW
0xff9040e0,GetLogDataOnlyAddMemory_FW
0xff942d34,GetLogToFile_FW
0xffab059c,GetLoopGain_FW
0xffab0594,GetLoopGainCalcData_FW
0xffa4769c,GetLPFParallelBest_FW
0xff9317f0,GetMechaShutterStatus_FW
0xff813c24,GetMemInfo
0xffaaec40,GetMinute_FW
0xff838e34,GetMontblancVSize_FW
0xffaaebc4,GetMonth_FW
0xff83c2c0,GetMovieJpegVRAMHPixelsSize_FW
0xff83c2cc,GetMovieJpegVRAMVPixelsSize_FW
0xff8276b0,GetNumberOfPostedMessages
0xffaa7df0,GetObClampValue_FW
0xffaa72e8,GetOnlyAEIntegData_FW
0xff84ceac,GetOpticalTemperature
0xff84ceac,GetOpticalTemperature_FW
0xff962ab8,GetParameterData
0xffaae2e4,GetPixelsOfViewangle_FW
0xff876358,GetPropertyCase
0xff821bf4,GetSDDetect_FW
0xff821bfc,GetSDProtect
0xff821bfc,GetSDProtect_FW
0xffaaec68,GetSecond_FW
0xff87b424,GetSelfControllerHandle_FW
0xff827990,GetSemaphoreValue
0xffaa8168,GetShutterSpeedRegularMaxLimit_FW
0xffaa8180,GetShutterSpeedRegularMinLimit_FW
0xff81aec8,GetSRAndDisableInterrupt
0xff81bbbc,GetStringWithPrompt_FW
0xffaadaf8,GetSumYOfVRAMCenterLine_FW
0xff821b88,GetSwitchStatus_FW
0xffa49a98,GetSystemTime
0xffa49a98,GetSystemTime_FW
0xff87049c,GetTimeOfSystem_FW
0xffa1655c,GetTransparentMemory_FW
0xffa165a0,GetTransparentMemoryPosition_FW
0xffa16548,GetTransparentMemorySize_FW
